SA609X2XB00426.A96149A.R04.C65,SA609X2XB00426.A96149A.R05.C12,SA609X2XB00426.A96149A.R05.C14,SA609X2XB00426.A96149A.R05.C17,SA609X2XB00426.A96149A.R05.C18,SA609X2XB00426.A96149A.R05.C20,SA609X2XB00426.A96149A.R05.C22,SA609X2XB00426.A96149A.R05.C42,SA609X2XB00426.A96149A.R05.C49,SA609X2XB00426.A96149A.R05.C55,SA609X2XB00426.A96149A.R05.C56,SA609X2XB00426.A96149A.R05.C62,SA609X2XB00426.A96149A.R06.C18,SA609X2XB00426.A96149A.R06.C22,SA609X2XB00426.A96149A.R06.C26,SA609X2XB00426.A96149A.R06.C27,SA609X2XB00426.A96149A.R06.C30,SA609X2XB00426.A96149A.R07.C09,SA609X2XB00426.A96149A.R08.C12,SA609X2XB00426.A96149A.R08.C13,SA609X2XB00426.A96149A.R08.C15,SA609X2XB00426.A96149A.R08.C18,SA609X2XB00426.A96149A.R08.C19,SA609X2XB00426.A96149A.R08.C23,SA609X2XB00426.A96149A.R08.C24,SA609X2XB00426.A96149A.R08.C29,SA609X2XB00426.A96149A.R08.C32,SA609X2XB00426.A96149A.R08.C41,SA609X2XB00426.A96149A.R08.C43,SA609X2XB00426.A96149A.R08.C45,SA609X2XB00426.A96149A.R08.C52,SA609X2XB00426.A96149A.R08.C59,SA609X2XB00426.A96149A.R08.C61,SA609X2XB00426.A96149A.R08.C63,SA609X2XB00426.A96149A.R09.C08,SA609X2XB00426.A96149A.R09.C13,SA609X2XB00426.A96149A.R09.C15,SA609X2XB00426.A96149A.R09.C17,SA609X2XB00426.A96149A.R09.C18,SA609X2XB00426.A96149A.R09.C21,SA609X2XB00426.A96149A.R09.C24,SA609X2XB00426.A96149A.R09.C25,SA609X2XB00426.A96149A.R09.C28,SA609X2XB00426.A96149A.R09.C30,SA609X2XB00426.A96149A.R09.C31,SA609X2XB00426.A96149A.R09.C39,SA609X2XB00426.A96149A.R09.C48,SA609X2XB00426.A96149A.R09.C51,SA609X2XB00426.A96149A.R10.C10,SA609X2XB00426.A96149A.R10.C13,SA609X2XB00426.A96149A.R10.C16,SA609X2XB00426.A96149A.R10.C17,SA609X2XB00426.A96149A.R10.C19,SA609X2XB00426.A96149A.R10.C22,SA609X2XB00426.A96149A.R10.C23,SA609X2XB00426.A96149A.R10.C25,SA609X2XB00426.A96149A.R10.C26,SA609X2XB00426.A96149A.R10.C27,SA609X2XB00426.A96149A.R10.C29,SA609X2XB00426.A96149A.R10.C30,SA609X2XB00426.A96149A.R10.C31,SA609X2XB00426.A96149A.R10.C32,SA609X2XB00426.A96149A.R10.C33,SA609X2XB00426.A96149A.R10.C35,SA609X2XB00426.A96149A.R10.C37,SA609X2XB00426.A96149A.R10.C44,SA609X2XB00426.A96149A.R10.C47,SA609X2XB00426.A96149A.R10.C48,SA609X2XB00426.A96149A.R10.C51,SA609X2XB00426.A96149A.R10.C54,SA609X2XB00426.A96149A.R11.C14,SA609X2XB00426.A96149A.R11.C15,SA609X2XB00426.A96149A.R11.C18,SA609X2XB00426.A96149A.R11.C36,SA609X2XB00426.A96149A.R11.C37,SA609X2XB00426.A96149A.R11.C48,SA609X2XB00426.A96149A.R11.C53,SA609X2XB00426.A96149A.R11.C54,SA609X2XB00426.A96149A.R11.C56,SA609X2XB00426.A96149A.R11.C57,SA609X2XB00426.A96149A.R11.C58,SA609X2XB00426.A96149A.R11.C60,SA609X2XB00426.A96149A.R11.C63,SA609X2XB00426.A96149A.R11.C64,SA609X2XB00426.A96149A.R11.C70,SA609X2XB00426.A96149A.R12.C12,SA609X2XB00426.A96149A.R12.C15,SA609X2XB00426.A96149A.R12.C16,SA609X2XB00426.A96149A.R12.C19,SA609X2XB00426.A96149A.R12.C20,SA609X2XB00426.A96149A.R12.C22,SA609X2XB00426.A96149A.R12.C23,SA609X2XB00426.A96149A.R12.C31,SA609X2XB00426.A96149A.R12.C40,SA609X2XB00426.A96149A.R12.C44,SA609X2XB00426.A96149A.R12.C45,SA609X2XB00426.A96149A.R12.C50,SA609X2XB00426.A96149A.R12.C52,SA609X2XB00426.A96149A.R12.C53,SA609X2XB00426.A96149A.R12.C55
1_100000001_100500000,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,3,4,3,4,5,4,3,3,3,4,4,3,3,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,5,4,4,4,4,4,4,5,3,4,4,4,3,4
1_10000001_10500000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
1_100500001_101000000,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,3,4,3,4,5,4,3,3,3,4,4,3,3,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,5,3,4,4,6,3,4
1_101000001_101500000,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,5,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,6,3,4
1_101500001_102000000,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,5,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,6,3,4
1_102000001_102500000,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,5,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,6,3,4
1_102500001_103000000,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,6,3,4
1_103000001_103500000,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,6,3,4
1_104500001_105000000,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,6,3,4
1_10500001_11000000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
